sentences,lable
"


=== Intelligence ===

Dog intelligence is the dog's ability to perceive information and retain it as knowledge for applying to solve problems",0
 Studies of two dogs suggest that dogs can learn by inference and have advanced memory skills,0
"  A study with Rico, a Border Collie, showed that he knew the labels of over 200 different items",0
 He inferred the names of novel things by exclusion learning and correctly retrieved those new items immediately and four weeks after the initial exposure,0
" A study of another Border Collie, Chaser, documented his learning and memory capabilities",0
" He had learned the names and could associate by verbal command over 1,000 words",0
" Dogs can read and react appropriately to human body language such as gesturing, pointing, and human voice commands",0
"
One study of canine cognitive abilities found that dogs' capabilities are no more exceptional than those of other animals, such as horses, chimpanzees, or cats",0
" One limited study of 18 household dogs found that they lacked spatial memory, and were more focused on the ""what"" of a task rather than the ""where""",0
Dogs demonstrate a theory of mind by engaging in deception,0
" An experimental study showed compelling evidence that Australian dingos can outperform domestic dogs in non-social problem-solving, indicating that domestic dogs may have lost much of their original problem-solving abilities once they joined humans",0
" Another study revealed that after undergoing training to solve a simple manipulation task, dogs faced with an unsolvable version of the same problem look at the human, while socialized wolves do not",0
"


=== Communication ===

Dog communication is how dogs convey information to other dogs, understand messages from humans and translate the information that dogs are transmitting",0
": xii  Communication behaviors of dogs include eye gaze, facial expression, vocalization, body posture (including movements of bodies and limbs), and gustatory communication (scents, pheromones, and taste)",0
" Humans communicate to dogs by using vocalization, hand signals, and body posture",0
"


== Ecology ==


=== Population ===
The dog is probably the most widely abundant large carnivoran living in the human environment",0
"
In 2013, the estimated global dog population was between 700 million and 987 million",0
 About 20% of dogs live as pets in developed countries,0
" In the developing world, dogs are typically feral or communally owned, with pet dogs uncommon",0
" Most of these dogs live their lives as scavengers and have never been owned by humans, with one study showing their most common response when approached by strangers is to run away (52%) or respond aggressively (11%)",0
" Little is known about these dogs, or the dogs in developed countries that are feral, strays, or are in shelters because the great majority of modern research on dog cognition has focused on pet dogs living in human homes",0
"


=== Competitors and predators ===
Although dogs are the most abundant and widely distributed terrestrial carnivores, feral and free-ranging dogs' potential to compete with other large carnivores is limited by their strong association with humans",0
" For example, a review of the studies in dogs' competitive effects on sympatric carnivores did not mention any research on competition between dogs and wolves",0
" Although wolves are known to kill dogs, they tend to live in pairs or in small packs in areas where they are highly persecuted, giving them a disadvantage facing large dog groups",0
Wolves kill dogs wherever they are found together,0
" In some instances, wolves have displayed an uncharacteristic fearlessness of humans and buildings when attacking dogs to the extent that they have to be beaten off or killed",0
" Although the numbers of dogs killed each year are relatively low, it induces a fear of wolves entering villages and farmyards to take dogs and losses of dogs to wolves have led to demands for more liberal wolf hunting regulations",0
Coyotes and big cats have also been known to attack dogs,0
" In particular, leopards are known to have a preference for dogs and have been recorded to kill and consume them, no matter what their size",0
 Siberian tigers in the Amur River region have killed dogs in the middle of villages,0
 This indicates that the dogs were targeted,0
" Amur tigers will not tolerate wolves as competitors within their territories, and the tigers could be considering dogs in the same way",0
 Striped hyenas are known to kill dogs in their range,0
"


=== Diet ===

Dogs have been described as omnivores",0
" Compared to wolves, dogs from agricultural societies have extra copies of amylase and other genes involved in starch digestion that contribute to an increased ability to thrive on a starch-rich diet",0
" Similar to humans, some dog breeds produce amylase in their saliva and are classified as having a high starch diet",0
" However, more like cats and less like other omnivores, dogs can only produce bile acid with taurine and they cannot produce vitamin D, which they obtain from animal flesh",0
" Also more like cats, dogs require arginine to maintain nitrogen balance",0
 These nutritional requirements place dogs halfway between carnivores and omnivores,0
"


=== Range ===
As a domesticated or semi-domesticated animal, the dog is nearly universal among human societies",0
" Notable exceptions once included:

The Aboriginal Tasmanians, who were separated from Australia before the arrival of dingos on that continent
The Andamanese peoples, who were isolated when rising sea levels covered the land bridge to Myanmar
The Fuegians, who instead domesticated the Fuegian dog, a different canid species
Individual Pacific islands whose maritime settlers did not bring dogs, or where dogs died out after original settlement, notably the Mariana Islands, Palau and most of the Caroline Islands with exceptions such as Fais Island and Nukuoro, the Marshall Islands, the Gilbert Islands, New Caledonia, Vanuatu, Tonga, Marquesas, Mangaia in the Cook Islands, Rapa Iti in French Polynesia, Easter Island, the Chatham Islands and Pitcairn Island (settled by the Bounty mutineers, who killed off their dogs to escape discovery by passing ships)",0
"Dogs were introduced to Antarctica as sled dogs, but were later outlawed by international agreement due to the possible risk of spreading infections",0
"


== Roles with humans ==
Domestic dogs inherited complex behaviors, such as bite inhibition, from their wolf ancestors, which would have been pack hunters with a complex body language",0
" These sophisticated forms of social cognition and communication may account for their trainability, playfulness and ability to fit into human households and social situations",0
 These attributes have given dogs a relationship with humans that has enabled them to become one of the most successful animals today,0
The dogs' value to early human hunter-gatherers led to them quickly becoming ubiquitous across world cultures,0
" Dogs perform many roles for people, such as hunting, herding, pulling loads, protection, assisting police and the military, companionship and aiding disabled individuals",0
" This influence on human society has given them the nickname ""man's best friend"" in the Western world",0
" In some cultures, however, dogs are also a source of meat",0
"


=== Pets ===

It is estimated that three-quarters of the world's dog population lives in the developing world as feral, village, or community dogs, with pet dogs uncommon",0
"""The most widespread form of interspecies bonding occurs between humans and dogs"" and the keeping of dogs as companions, particularly by elites, has a long history",0
 Pet dog populations grew significantly after World War II as suburbanization increased,0
" In the 1950s and 1960s, dogs were kept outside more often than they tend to be today (the expression ""in the doghouse"" - recorded since 1932 - to describe exclusion from the group implies a distance between the doghouse and the home) and were still primarily functional, acting as a guard, children's playmate, or walking companion",0
" From the 1980s, there have been changes in the pet dog's role, such as the increased role of dogs in the emotional support of their human guardians",0
 People and their dogs have become increasingly integrated and implicated in each other's lives to the point where pet dogs actively shape how a family and home are experienced,0
There have been two significant trends occurring within the second half of the 20th century in pet dogs' changing status,0
" The first has been ""commodification"", shaping it to conform to social expectations of personality and behavior",0
 The second has been the broadening of the family's concept and the home to include dogs-as-dogs within everyday routines and practices,0
A vast range of commodity forms aims to transform a pet dog into an ideal companion,0
" The list of goods, services, and places available is enormous: from dog perfumes, couture, furniture and housing to dog groomers, therapists, trainers and caretakers, dog cafes, spas, parks and beaches and dog hotels, airlines and cemeteries",0
" Dog training books, classes, and television programs proliferated as the process of commodifying the pet dog continued",0
"The majority of contemporary dog owners describe their pet as part of the family, although some ambivalence about the relationship is evident in the popular reconceptualization of the dog-human family as a pack",0
" Some dog trainers, such as on the television program Dog Whisperer, have promoted a dominance model of dog-human relationships",0
" However, it has been disputed that ""trying to achieve status"" is characteristic of dog-human interactions",0
" The idea of the ""alpha dog"" trying to be dominant is based on a disproved theory about wolf packs",0
" Pet dogs play an active role in family life; for example, a study of conversations in dog-human families showed how family members use the dog as a resource, talking to the dog, or talking through the dog; to mediate their interactions with each other",0
"Increasingly, human family-members engage in activities centered on the dog's perceived needs and interests, or in which the dog is an integral partner, such as dog dancing and dog yoga",0
"According to statistics published by the American Pet Products Manufacturers Association in the National Pet Owner Survey in 2009–2010, an estimated 77",0
5 million people in the United States have pet dogs,0
" The same source shows that nearly 40% of American households own at least one dog, of which 67% own just one dog, 25% two dogs and nearly 9% more than two dogs",0
" There does not seem to be any gender preference among dogs as pets, as the statistical data reveal an equal number of male and female pet dogs",0
" Although several programs promote pet adoption, less than one-fifth of the owned dogs come from shelters",0
A study using magnetic resonance imaging (MRI) to compare humans and dogs showed that dogs have the same response to voices and use the same parts of the brain as humans do,0
" This gives dogs the ability to recognize human emotional sounds, making them friendly social pets to humans",0
"


=== Workers ===
Dogs have lived and worked with humans in many roles",0
" In addition to dogs' role as companion animals, dogs have been bred for herding livestock (collies, sheepdogs),  hunting (hounds, pointers) and rodent control (terriers)",0
" Other types of working dogs include search and rescue dogs, detection dogs trained to detect illicit drugs or chemical weapons; guard dogs; dogs who assist fishermen with the use of nets; and dogs that pull loads",0
" In 1957, the dog Laika became the first animal to be launched into Earth orbit, aboard the Soviets' Sputnik 2; she died during the flight",0
"Various kinds of service dogs and assistance dogs, including guide dogs, hearing dogs, mobility assistance dogs and psychiatric service dogs, assist individuals with disabilities",0
" Some dogs owned by people with epilepsy have been shown to alert their handler when the handler shows signs of an impending seizure, sometimes well in advance of onset, allowing the guardian to seek safety, medication, or medical care",0
"


=== Athletes and models ===

People often enter their dogs in competitions, such as breed-conformation shows or sports, including racing, sledding and agility competitions",0
" In conformation shows, also referred to as breed shows, a judge familiar with the specific dog breed evaluates individual purebred dogs for conformity with their established breed type as described in the breed standard",0
" As the breed standard only deals with the dog's externally observable qualities (such as appearance, movement and temperament), separately tested qualities (such as ability or health) are not part of the judging in conformation shows",0
"


=== Food ===

Dog meat is consumed in some East Asian countries, including Korea, China, Vietnam and the Philippines, which dates back to antiquity",0
" Based on limited data, it is estimated that 13–16 million dogs are killed and consumed in Asia every year",0
" In China, debates have ensued over banning the consumption of dog meat",0
"  Following the Sui and Tang dynasties of the first millennium, however, people living on northern China's plains began to eschew eating dogs, which is likely due to Buddhism and Islam's spread, two religions that forbade the consumption of certain animals, including the dog",0
" As members of the upper classes shunned dog meat, it gradually became a social taboo to eat it, even though the general population continued to consume it for centuries afterward",0
 Dog meat is also consumed in some parts of Switzerland,0
" Other cultures, such as Polynesia and pre-Columbian Mexico, also consumed dog meat in their history",0
 Dog fat is also reportedly believed to be beneficial for the lungs in some parts of Poland and Central Asia,0
 Proponents of eating dog meat have argued that placing a distinction between livestock and dogs is Western hypocrisy and that there is no difference in eating different animals' meat,0
"In Korea, the primary dog breed raised for meat, the Nureongi, differs from those breeds raised for pets that Koreans may keep in their homes",0
"The most popular Korean dog dish is called bosintang, a spicy stew meant to balance the body's heat during the summer months",0
" Followers of the custom claim this is done to ensure good health by balancing one's gi, or the body's vital energy",0
 A 19th-century version of bosintang explains that the dish is prepared by boiling dog meat with scallions and chili powder,0
 Variations of the dish contain chicken and bamboo shoots,0
" While the dishes are still prevalent in Korea with a segment of the population, dog is not as widely consumed as beef, pork and chicken",0
"


=== Health risks ===

In 2018, the WHO reported that 59,000 people died globally from rabies, with 59",0
6% in Asia and 36,0
4% in Africa,0
 Rabies is a disease for which dogs are the most important vector,0
 Significant dog bites affect tens of millions of people globally each year,0
" Children in mid-to-late childhood are the largest percentage bitten by dogs, with a greater risk of injury to the head and neck",0
 They are more likely to need medical treatment and have the highest death rate,0
 Sharp claws with powerful muscles behind them can lacerate flesh in a scratch that can lead to serious infections,0
In the U,0
S,0
", cats and dogs are a factor in more than 86,000 falls each year",0
 It has been estimated that around 2% of dog-related injuries treated in U,0
K,0
 hospitals are domestic accidents,0
" The same study found that while dog involvement in road traffic accidents was difficult to quantify, dog-associated road accidents involving injury more commonly involved two-wheeled vehicles",0
Toxocara canis (dog roundworm) eggs in dog feces can cause toxocariasis,0
" In the United States, about 10,000 cases of Toxocara infection are reported in humans each year, and almost 14% of the U",0
S,0
 population is infected,0
 Untreated toxocariasis can cause retinal damage and decreased vision,0
 Dog feces can also contain hookworms that cause cutaneous larva migrans in humans,0
"


=== Health benefits ===

Dogs suffer from the same common disorders as humans; these include cancer, diabetes, heart disease and neurologic disorders",0
" Their pathology is similar to humans, as is their response to treatment and their outcomes",0
" Researchers are identifying the genes associated with dog diseases similar to human disorders, but lack mouse models to find cures for both dogs and humans",0
 The genes involved in canine obsessive-compulsive disorders led to the detection of four genes in humans' related pathways,0
The scientific evidence is mixed as to whether a dog's companionship can enhance human physical health and psychological well-being,0
 Studies suggesting that there are benefits to physical health and psychological well-being have been criticized for being poorly controlled,0
" It found that ""the health of elderly people is related to their health habits and social supports but not to their ownership of, or attachment to, a companion animal",0
""" Earlier studies have shown that people who keep pet dogs or cats exhibit better mental and physical health than those who do not, making fewer visits to the doctor and being less likely to be on medication than non-guardians",0
"A 2005 paper states ""recent research has failed to support earlier findings that pet ownership is associated with a reduced risk of cardiovascular disease, a reduced use of general practitioner services, or any psychological or physical benefits on health for community dwelling older people",0
" Research has, however, pointed to significantly less absenteeism from school through sickness among children who live with pets",0
""" In one study, new guardians reported a highly significant reduction in minor health problems during the first month following pet acquisition",0
 This effect was sustained in those with dogs through to the end of the study,0
People with pet dogs took considerably more physical exercise than those with cats and those without pets,0
" The results provide evidence that keeping pets may have positive effects on human health and behavior and that for guardians of dogs, these effects are relatively long-term",0
 Pet guardianship has also been associated with increased coronary artery disease survival,0
 Human guardians are significantly less likely to die within one year of an acute myocardial infarction than those who did not own dogs,0
 The association between dog ownership and adult physical activity levels has been reviewed by several authors,0
"The health benefits of dogs can result from contact with dogs in general, not solely from having dogs as pets",0
" For example, when in a pet dog's presence, people show reductions in cardiovascular, behavioral and psychological indicators of anxiety",0
" Other health benefits are gained from exposure to immune-stimulating microorganisms, which can protect against allergies and autoimmune diseases according to the hygiene hypothesis",0
" The benefits of contact with a dog also include social support, as dogs cannot only provide companionship and social support themselves but also act as facilitators of social interactions between humans",0
 One study indicated that wheelchair users experience more positive social interactions with strangers when accompanied by a dog than when they are not,0
" In 2015, a study found that pet owners were significantly more likely to get to know people in their neighborhood than non-pet owners",0
"Using dogs and other animals as a part of therapy dates back to the late 18th century, when animals were introduced into mental institutions to help socialize patients with mental disorders",0
" Animal-assisted intervention research has shown that animal-assisted therapy with a dog can increase social behaviors, such as smiling and laughing, among people with Alzheimer's disease",0
" One study demonstrated that children with ADHD and conduct disorders who participated in an education program with dogs and other animals showed increased attendance, increased knowledge and skill objectives and decreased antisocial and violent behavior compared with those not in an animal-assisted program",0
"


=== Cultural importance ===

Dogs were depicted to symbolize guidance, protection, loyalty, fidelity, faithfulness, alertness, and love",0
" In ancient Mesopotamia, from the Old Babylonian period until the Neo-Babylonian, dogs were the symbol of Ninisina, the goddess of healing and medicine, and her worshippers frequently dedicated small models of seated dogs to her",0
" In the Neo-Assyrian and Neo-Babylonian periods, dogs were used as emblems of magical protection",0
" In China, Korea and Japan, dogs are viewed as kind protectors",0
"In mythology, dogs often serve as pets or as watchdogs",0
 Stories of dogs guarding the gates of the underworld recur throughout Indo-European mythologies and may originate from Proto-Indo-European religion,0
" In Greek mythology, Cerberus is a three-headed, dragon-tailed watchdog who guards the gates of Hades",0
 Dogs are also associated with the Greek goddess Hecate,0
" In Norse mythology, a bloody, four-eyed dog called Garmr guards Helheim",0
" In Persian mythology, two four-eyed dogs guard the Chinvat Bridge",0
" In Welsh mythology, Annwn is guarded by Cŵn Annwn",0
" In Hindu mythology, Yama, the god of death, owns two watchdogs who have four eyes",0
 They are said to watch over the gates of Naraka,0
 A black dog is also considered to be the vahana (vehicle) of Bhairava (an incarnation of Shiva),0
"In Christianity, dogs represent faithfulness",0
" Within the Roman Catholic denomination specifically, the iconography of Saint Dominic includes a dog, after the saint's mother dreamt of a dog springing from her womb and becoming pregnant shortly after that",0
" As such, the Dominican Order (Ecclesiastical Latin: Domini canis) means ""dog of the Lord"" or ""hound of the Lord"" (Ecclesiastical Latin: Domini canis)",0
" In Christian folklore, a church grim often takes the form of a black dog to guard Christian churches and their churchyards from sacrilege",0
 Jewish law does not prohibit keeping dogs and other pets,0
 Jewish law requires Jews to feed dogs (and other animals that they own) before themselves and make arrangements for feeding them before obtaining them,0
" The view on dogs in Islam is mixed, with some schools of thought viewing it as unclean, although Khaled Abou El Fadl states that this view is based on ""pre-Islamic Arab mythology"" and ""a tradition to be falsely attributed to the Prophet",0
""" Therefore, Sunni Malaki and Hanafi jurists permit the trade of and keeping of dogs as pets",0
"


== Terminology ==
Dog – the species (or subspecies) as a whole, also any male member of the same",0
"
Bitch – any female member of the species (or subspecies)",0
"
Puppy or pup – a young member of the species (or subspecies) under 12 months old",0
"
Sire – the male parent of a litter",0
"
Dam – the female parent of a litter",0
"
Litter – all of the puppies resulting from a single whelping",0
"
Whelping – the act of a bitch giving birth",0
"
Whelps – puppies still dependent upon their dam",0
"


== See also ==


== References ==


== Bibliography ==
Coppinger, Raymond; Schneider, Richard (1995)",0
" ""Evolution of working dogs""",0
"  In Serpell, James (ed",0
),0
" The domestic dog: its evolution, behaviour, and interactions with people",0
 Cambridge: Cambridge University Press,0
 ISBN 978-0-521-42537-7,0
"
HarperCollins (2021)",0
" ""Collins Dictionary""",0
 HarperCollins Publishers L,0
L,0
C,0
"
Cunliffe, Juliette (2004)",0
 The encyclopedia of dog breeds,0
 Bath: Paragon Books,0
 ISBN 978-0-7525-8018-0,0
"
Fogle, Bruce (2009)",0
 The encyclopedia of the dog,0
 New York: DK Publishing,0
 ISBN 978-0-7566-6004-8,0
"
Jones, Arthur F",0
"; Hamilton, Ferelith (1971)",0
 The world encyclopedia of dogs,0
 New York: Galahad Books,0
 ISBN 978-0-88365-302-9,0
"
Miklósi, Adám (2007)",0
" Dog Behaviour, Evolution, and Cognition",0
 Oxford University Press,0
 doi:10,0
1093/acprof:oso/9780199295852,0
001,0
0001,0
 ISBN 978-0-19-929585-2,0
"
Wang, Xiaoming; Tedford, Richard H",0
 (2008),0
 Dogs: Their Fossil Relatives and Evolutionary History,0
" Columbia University Press, New York",0
 pp,0
 1–232,0
 ISBN 978-0-231-13529-0,0
 OCLC 502410693,0
"
Smith, Bradley, ed",0
 (2015),0
" The Dingo Debate: Origins, Behaviour and Conservation",0
" CSIRO Publishing, Melbourne, Australia",0
 ISBN 978-1-4863-0030-3,0
"
Boitani, Luigi; Mech, L",0
 David (2003),0
" Wolves: Behavior, Ecology, and Conservation",0
 Chicago: University of Chicago Press,0
 p,0
 482,0
 ISBN 978-0-226-51696-7,0
 OCLC 904338888,0
"


== External links ==

Biodiversity Heritage Library bibliography for Canis lupus familiaris
Fédération Cynologique Internationale (FCI) – World Canine Organisation
Dogs in the Ancient World, an article on the history of dogs
View the dog genome Archived 13 December 2013 at the Wayback Machine on Ensembl
Genome of Canis lupus familiaris (version UU_Cfam_GSD_1",0
"0/canFam4), via UCSC Genome Browser
Data of the genome of Canis lupus familiaris, via NCBI
Data of the genome assembly of Canis lupus familiaris (version UU_Cfam_GSD_1",0
"0/canFam4), via NCBIA mouse (PL: mice) is a small rodent",0
" Characteristically, mice are known to have a pointed snout, small rounded ears, a body-length scaly tail, and a high breeding rate",0
 The best known mouse species is the common house mouse (Mus musculus),0
 Mice are also popular as pets,0
" In some places, certain kinds of field mice are locally common",0
 They are known to invade homes for food and shelter,0
" 
Mice are typically distinguished from rats by their size",0
" Generally, when a muroid rodent is discovered, its common name includes the term mouse if it is smaller, or rat if it is larger",0
 The common terms rat and mouse are not taxonomically specific,0
" Typical mice are classified in the genus Mus, but the term mouse is not confined to members of Mus and can also apply to species from other genera such as the deer mouse, Peromyscus",0
"
Domestic mice sold as pets often differ substantially in size from the common house mouse",0
 This is attributable to breeding and different conditions in the wild,0
 The best-known strain of mouse is the white lab mouse,0
 It has more uniform traits that are appropriate to its use in research,0
"
Cats, wild dogs, foxes, birds of prey, snakes and even certain kinds of arthropods have been known to prey heavily upon mice",0
" Despite this, mice populations remain plentiful",0
" Due to its remarkable adaptability to almost any environment, the mouse is one of the most successful mammalian genera living on Earth today",0
"
In certain contexts, mice can be considered vermin",0
" Vermin are a major source of crop damage, as they are known to cause structural damage and spread disease",0
 Mice spread disease through their feces and are often carriers of parasites,0
" In North America, breathing dust that has come in contact with mouse excrement has been linked to hantavirus, which may lead to hantavirus pulmonary syndrome (HPS)",0
"
Primarily nocturnal animals, mice compensate for their poor eyesight with a keen sense of hearing",0
 They depend on their sense of smell to locate food and avoid predators,0
"In the wild, mice are known to build intricate burrows",0
 These burrows have long entrances and are equipped with escape tunnels,0
" In at least one species, the architectural design of a burrow is a genetic trait",0
"


== Types of animals known as mice ==
The most common mice are murines, in the same clade as common rats",0
" They are murids, along with gerbils and other close relatives",0
" 

order Dasyuromorphia
marsupial mice, smaller species of Dasyuridae
order Rodentia
suborder Castorimorpha
family Heteromyidae
Kangaroo mouse, genus Microdipodops
Pocket mouse, tribe Perognathinae
Spiny pocket mouse, genus Heteromys
suborder Anomaluromorpha
family Anomaluridae
flying mouse
suborder Myomorpha
family Cricetidae
Brush mouse, Peromyscus boylii
Florida mouse
Golden mouse
American harvest mouse, genus Reithrodontomys
Voles Often referred to as ""Field or Meadow mice""
family Muridae
typical mice, the genus Mus
Field mice, genus Apodemus
Wood mouse, Apodemus sylvaticus
Yellow-necked mouse, Apodemus flavicollis
Large Mindoro forest mouse
Big-eared hopping mouse
Luzon montane forest mouse
Forrest's mouse
Pebble-mound mouse
Bolam's mouse
Eurasian harvest mouse, genus Micromys


== Emotions ==
Researchers at the Max Planck Institute of Neurobiology have confirmed that mice have a range of facial expressions",0
" They used machine vision to spot familiar human emotions like pleasure, disgust, nausea, pain, and fear",0
"


== Diet ==
In nature, mice are largely herbivores, consuming any kind of fruit or grain from plants",0
" However, mice adapt well to urban areas and are known for eating almost all types of food scraps",0
" In captivity, mice are commonly fed commercial pelleted mouse diet",0
" These diets are nutritionally complete, but they still need a large variety of vegetables",0
"
Despite popular belief, most mice do not have a special appetite for cheese",0
 They will only eat cheese for lack of better options,0
"


== Human use ==


=== As experimental animals ===

Mice are common experimental animals in laboratory research of biology and psychology fields primarily because they are mammals, and also because they share a high degree of homology with humans",0
" They are the most commonly used mammalian model organism, more common than rats",0
" The mouse genome has been sequenced, and virtually all mouse genes have human homologs",0
 The mouse has approximately 2,0
7 billion base pairs and 20 pairs of chromosomes,0
"
They can also be manipulated in ways that are illegal with humans, although animal rights activists often object",0
 A knockout mouse is a genetically modified mouse that has had one or more of its genes made inoperable through a gene knockout,0
"
Reasons for common selection of mice are that they are small and inexpensive, have a widely varied diet, are easily maintained, and can reproduce quickly",0
 Several generations of mice can be observed in a relatively short time,0
 Mice are generally very docile if raised from birth and given sufficient human contact,0
" However, certain strains have been known to be quite temperamental",0
"


=== As pets ===

Many people buy mice as companion pets",0
" They can be playful, loving and can grow used to being handled",0
" Like pet rats, pet mice should not be left unsupervised outside as they have many natural predators, including (but not limited to) birds, snakes, lizards, cats, and dogs",0
 Male mice tend to have a stronger odor than the females,0
"  However, mice are careful groomers and as pets they never need bathing",0
  Well looked-after mice can make ideal pets,0
" Some common mouse care products are:

Cage – Usually a hamster or gerbil cage, but a variety of special mouse cages are now available",0
 Most should have a secure door,0
"
Food – Special pelleted and seed-based food is available",0
" Mice can generally eat most rodent food (for rats, mice, hamsters, gerbils, etc",0
")
Bedding – Usually made of hardwood pulp, such as aspen, sometimes from shredded, uninked paper or recycled virgin wood pulp",0
" Using corn husk bedding is avoided because it promotes Aspergillus fungus, and can grow mold once it gets wet, which is rough on their feet",0
"


=== As feed ===

Mice are a staple in the diet of many small carnivores",0
" In various countries mice are used as feed for pets such as snakes, lizards, frogs, tarantulas, and birds of prey, and many pet stores carry mice for this purpose",0
 Such mice are sold in various sizes and with various amounts of fur,0
" Mice without fur are easier for the animal to consume; however, mice with fur may be more convincing as animal feed",0
"


=== As food ===
Humans have eaten mice since prehistoric times",0
" In Victorian Britain, fried mice were still given to children as a folk remedy for bed-wetting; while Jared Diamond reports creamed mice being used in England as a dietary supplement during WW II rationing",0
" Mice are a delicacy throughout eastern Zambia and northern Malawi, where they are a seasonal source of protein",0
 Field rat is a popular food in Vietnam and neighboring countries,0
" In many countries, however, mouse is no longer a food item",0
"
Prescribed cures in Ancient Egypt included mice as medicine",0
" In Ancient Egypt, when infants were ill, mice were eaten as treatment by their mothers",0
 It was believed that mouse eating by the mother would help heal the baby who was ill,0
"


== See also ==
Fe, Fi, Fo, Fum, and Phooey, mice who orbited the Moon 75 times in 1972 on Apollo 17
List of fictional mice and rats
Mouse brain development timeline
Mousetrap
Musophobia (fear of mice)


== References ==


== External links ==

Fancy Mice: extensive information about breeding mice and keeping them as pets
High-resolution images of cross sections of mice brains
History of the mouse (with focus on their use in genetics studies)
Mouse tracks: How to identify mouse tracksBox turtle is the common name for several species of turtle",0
" It may refer to those of the genus Cuora or Pyxidea, which are the Asian box turtles, or more commonly to species of the genus Terrapene, the North American box turtles",0
" They are largely characterized by having a shell shaped like a dome, which is hinged at the bottom, allowing the animal to close its shell tightly to escape predators",0
" Furthermore, the two genera are very different in habitat, behavior and appearance, and are not even classified in the same family",0
" Even though box turtles became very popular pets, their needs in captivity are complex and the capture of turtles can have serious detrimental effects on the wild population",0
"The box turtle commonly lives over twenty years, with verified cases of lifespans exceeding 40 to 50 years",0
 There have been unverified cases of box turtles living for a hundred years and more,0
"


== Diet ==
Box turtles are omnivorous",0
" Their eagle eyes and keen sense of smell help them find foods such as snails, insects, berries, fungi, slugs, worms, flowers, fish, frogs, salamanders, various rodents, snakes, birds, and eggs",0
 During their first five to six years of life they are primarily carnivorous,0
" Adults tend to be mostly herbivores, but do not feed on leafy greens",0
 Box turtles are known to feed on animals found dead on roadways victims of being struck by a car or other rolling vehicle,0
" Hatchlings and young turtles need more protein and prefer a carnivorous diet, to which, as they grow, they incorporate more and more plants",0
"


== Research ==
A recent study conducted by Davidson College revealed, among other things, that a box turtle can make sounds with its jaws that exceed 75 dB",0
 This sound can be used to scare away predators and even also as some kind of mating call,0
"


== Mating ==
While it appears that most matings of Terrapene carolina occur in one-on-one encounters, there are occasions when two males will compete for access to the same female",0
" These encounters, which almost never amount to mortal combat, consist of head-butting, shoving, and perhaps attempts to overturn the other",0
 It is presumed that eventually one of the males exhausts himself and withdraws from the field while the other gains access to the female,0
"


== Preservation ==

Asian box turtles are in serious danger of extinction in their habitat because they are part of the food base of many Asian countries such as China, where they are captured for local food markets despite captive breeding farms",0
" North American box turtles, on the other hand, are endangered by habitat destruction",0
 The forests converted to farmland greatly reduced the number of turtles in many states,0
" The remaining land is often fragmented with highways and urban projects, destroying the animals' habitat",0
" In an attempt to cross man-made additions, turtles are often killed by cars, animals, and other hazards",0
 They are also facing population decline from a necrotizing bacterial infection first found in this species April 2011,0
Another serious treatment of these animals in North America is the capture and sale of hatchling box turtles from the wild,0
 A 3-year study conducted in Texas indicated that more than 7000 box turtles were taken from the wild for commercial trade,0
" A similar study in Louisiana found that over a 41-month period, about 30,000 box turtles were taken from the wild for resale",0
" Once captured, the turtles are often kept in poor conditions, in which more than half die",0
" Those that live long enough to be sold usually suffer from conditions such as malnutrition, dehydration, and infection",0
Indiana and many other states created strict laws against the collection of hatchling turtles from the wild,0
 In many states it is illegal to keep them without a special permit,0
" Collecting wild-hatched box turtles can cause irreversible damage to populations, because these turtles have a low reproductive rate, as they take a long time to find a mate",0
"
Most turtle and sea-turtle societies do not recommend the use of turtles as pets for young children despite their popularity as such",0
 Box turtles are easily stressed if touched excessively and require more care than is generally thought,0
 Box turtles can be easily injured by dogs and cats so special care must be taken to protect them from household pets and neighborhood animals,0
" Box turtles require an enclosed outdoor location, consistent sun exposure and a varied diet",0
" Without this, a turtle's growth can be stunted and its immune system weakened",0
"
Finding box turtles in the wild and taking them as pets, even for a short period, can have detrimental effects",0
 Box turtles want to stay within the area where they were hatched,0
" If one is moved more than half a mile from its territory, it may not find its way back, but may spend years searching for it",0
 This exposes the animal to danger and also disrupts the breeding cycle of which it would otherwise have been a part,0
"
While box turtles are very popular as pets, it is important that they are preserved in the right matter",0
 Keeping them in a more northern area where they can survive the best in ecological and physiological factor to not damage their way of living,0
